iter	Passed	Remaining
0	2977	10419401
1	6241	10916340
2	8816	10276854
3	11097	9698861
4	13580	9493101
5	15885	9250832
6	19201	9581765
7	21446	9361235
8	24595	9540323
9	27745	9683344
10	30260	9598012
11	33015	9596458
12	37048	9937567
13	39705	9886745
14	42631	9904821
15	45265	9856515
16	48232	9882016
17	51478	9958282
18	54523	9989369
19	57527	10009806
20	62084	10285361
21	66157	10458973
22	69813	10554010
23	73282	10613743
24	76492	10632511
25	78593	10501259
26	83450	10734254
27	89306	11074004
28	96263	11521709
29	98598	11404517
30	101054	11308299
31	105597	11444131
32	108184	11365912
33	110848	11300016
34	113002	11187280
35	115800	11142580
36	118301	11072368
37	123607	11261329
38	126450	11221660
39	129226	11178121
40	131837	11122602
41	135426	11150084
42	139482	11213704
43	143100	11239897
44	145169	11145803
45	147533	11077825
46	151528	11132524
47	157321	11314045
48	163003	11480132
49	165972	11452099
50	168863	11419821
51	171726	11386791
52	174749	11365324
53	179559	11458529
54	182358	11422279
55	185327	11397664
56	188080	11360741
57	191417	11359636
58	195017	11373790
59	199248	11423563
60	203614	11479171
61	206292	11439251
62	208280	11362874
63	210257	11288175
64	213365	11275572
65	220736	11485001
66	223914	11473113
67	226987	11456168
68	229547	11414173
69	232656	11400159
70	235981	11396912
71	239148	11386106
72	244402	11473530
73	247474	11457382
74	250004	11416855
75	252533	11377302
76	255496	11357965
77	259219	11372410
78	264277	11444222
79	268116	11461976
80	270953	11436921
81	274050	11423232
82	277653	11430629
83	280852	11421346
84	284337	11423669
85	290548	11534101
86	292376	11469900
87	294582	11421765
88	297688	11409154
89	303254	11489961
90	307015	11501254
91	310918	11517515
92	314013	11503697
93	318566	11542955
94	323591	11598200
95	326881	11590667
96	331018	11612959
97	335842	11658543
98	342145	11753914
99	345070	11732380
100	347546	11696129
101	352756	11751637
102	357788	11800082
103	360580	11774324
104	363663	11758447
105	367833	11777613
106	370868	11760353
107	375390	11790039
108	380908	11850111
109	382494	11787788
110	385672	11775182
111	388905	11764402
112	393125	11783318
113	395644	11751336
114	398047	11716427
115	400015	11669429
116	402137	11627609
117	404870	11603998
118	411979	11705059
119	415790	11711422
120	418560	11688574
121	421533	11671640
122	424323	11649922
123	427487	11638692
124	431191	11642179
125	435914	11672826
126	439866	11682431
127	445014	11723348
128	448664	11724411
129	451367	11700832
130	454129	11679103
131	459335	11720015
132	462912	11718997
133	466731	11724017
134	469129	11693491
135	471344	11658837
136	472844	11607118
137	477955	11644097
138	487653	11791392
139	492485	11819654
